"Director_id","Name","Rating","Movie_Count"
nm0290802,Georges Franju,7.6,1
nm0757256,Gene Saks,7.6,1
nm0001874,Franco Zeffirelli,7.6,1
nm0167195,Robert Clouse,7.6,1
nm0292419,James Frawley,7.6,1
nm0041932,Mark Rydell,7.6,1
nm0561813,Ron Maxwell,7.6,1
nm0320660,François Girard,7.6,1
nm0366004,Mary Harron,7.6,1
nm0301826,Bob Gale,7.6,1
nm0745131,Marc Rothemund,7.6,1
nm0196860,Olivier Dahan,7.6,1
nm1868177,Ladj Ly,7.6,1
nm2341611,Jeff Orlowski-Yang,7.6,1
nm0600409,Daniel Monzón,7.6,1
nm3152327,Ryûsuke Hamaguchi,7.6,1
nm0177896,Bradley Cooper,7.6,1
nm2197025,Deniz Gamze Ergüven,7.6,1
nm0771923,Sebastian Schipper,7.6,1
nm2285536,Anthony Maras,7.6,1
nm0497274,Francis Lee,7.6,1
nm0252230,Chiwetel Ejiofor,7.6,1
nm2268736,Tim Wardle,7.6,1
nm1778124,Ali Atay,7.6,1
nm4940051,Shin'ichirô Ueda,7.6,1
nm0193485,Richard Curtis,7.57,3
nm0000338,Francis Ford Coppola,7.55,11
nm0661791,Park Chan-wook,7.55,8
nm0005069,Spike Jonze,7.55,4
nm0001047,Michael Cimino,7.55,2
nm0001754,Todd Solondz,7.55,2
nm1259871,John Crowley,7.55,2
nm1653753,Paul King,7.55,2
nm1018493,Rakeysh Omprakash Mehra,7.53,3
nm0027572,Wes Anderson,7.52,10
nm0005222,Sam Mendes,7.52,8
nm0000419,Jean-Luc Godard,7.52,6
nm0080220,Sanjay Leela Bhansali,7.52,5
nm0001603,Sam Peckinpah,7.5,4
nm2308774,Destin Daniel Cretton,7.5,4
nm0878763,Morten Tyldum,7.5,3
nm0230859,Xavier Dolan,7.5,3
nm0423524,Alejandro Jodorowsky,7.5,2
nm0159507,Stephen Chow,7.5,2
nm0886976,Felix van Groeningen,7.5,2
nm1053530,Tom Ford,7.5,2
nm1049433,Lenny Abrahamson,7.5,2
nm0577647,Theodore Melfi,7.5,2
nm9227039,Sandeep Reddy Vanga,7.5,2
nm0928208,Fred M. Wilcox,7.5,1
nm0657162,George Pal,7.5,1
nm0534084,Ian MacNaughton,7.5,1
nm0362736,Robin Hardy,7.5,1
nm0000425,Peter Greenaway,7.5,1
nm0000641,Gary Sinise,7.5,1
nm0005917,Joseph Vilsmaier,7.5,1
nm0254632,Stephan Elliott,7.5,1
nm0000209,Tim Robbins,7.5,1
nm0001214,Mike Figgis,7.5,1
nm1166926,Vadim Perelman,7.5,1
nm0564827,Tim McCanlies,7.5,1
nm0000780,Denys Arcand,7.5,1
nm1077168,Yann Samuell,7.5,1
nm0415207,Luc Jacquet,7.5,1
nm0437526,Shûsuke Kaneko,7.5,1
nm1093053,Brian Percival,7.5,1
nm0134559,Laurent Cantet,7.5,1
nm0053028,Philip Barantini,7.5,1
nm0175916,Paddy Considine,7.5,1
nm0748066,Henry Alex Rubin,7.5,1
